,dating,violence,world/life,night/time,shake the audience,family/gospel,romantic,communication,obscene,music,movement/places,light/visual perceptions,family/spiritual,sadness,feelings,age,genre_blues,genre_country,genre_hip hop,genre_jazz,genre_pop,genre_reggae,genre_rock
0,0.000598086,0.063746128,0.000598086,0.000598086,0.000598086,0.048857015,0.017104339,0.2637508813174463,0.000598086,0.039288366,0.000598086,0.000598086,0.000598086,0.380298895,0.1171754514230962,1.0,0,0,0,0,1,0,0
1,0.035537134,0.096776742,0.4434351738186404,0.001283697,0.001283697,0.027007477,0.001283697,0.001283697,0.001283697,0.1180338411682359,0.001283697,0.2126810671851602,0.051124199,0.001283697,0.001283697,1.0,0,0,0,0,1,0,0
2,0.002770083,0.002770083,0.002770083,0.002770083,0.002770083,0.002770083,0.1585644656581314,0.2506679099206141,0.002770083,0.3237940521915833,0.002770083,0.002770083,0.002770083,0.002770083,0.225422323,1.0,0,0,0,0,1,0,0
3,0.048249124,0.001547988,0.001547988,0.001547988,0.021500355,0.001547988,0.4115358246343062,0.001547988,0.001547988,0.001547988,0.1292497848687442,0.001547988,0.001547988,0.2258894842203273,0.001547988,1.0,0,0,0,0,1,0,0
4,0.001349528,0.001349528,0.4177722727138843,0.001349528,0.001349528,0.001349528,0.4634300948612802,0.001349528,0.001349528,0.001349528,0.001349528,0.001349528,0.029754565,0.068800152,0.001349528,1.0,0,0,0,0,1,0,0
5,0.001052632,0.4206846660518329,0.001052632,0.074078284,0.001052632,0.001052632,0.001052632,0.001052632,0.001052632,0.001052632,0.001052632,0.1721731259860281,0.001052632,0.1282918261528421,0.001052632,1.0,0,0,0,0,1,0,0
6,0.000482859,0.000482859,0.3718167049375792,0.040711966,0.000482859,0.000482859,0.000482859,0.3847028203575036,0.000482859,0.000482859,0.000482859,0.044354671,0.000482859,0.000482859,0.1231498770060476,1.0,0,0,0,0,1,0,0
7,0.002506266,0.002506266,0.336056482,0.002506266,0.002506266,0.002506266,0.1768608110005607,0.002506266,0.002506266,0.002506266,0.002506266,0.3868866188357865,0.002506266,0.062602102,0.002506266,1.0,0,0,0,0,1,0,0
8,0.083537203,0.002024292,0.002024292,0.2482727910418802,0.002024292,0.002024291,0.4018011071559509,0.1677832979623083,0.002024292,0.002024292,0.002024292,0.002024292,0.002024292,0.002024292,0.031599678,1.0,0,0,0,0,1,0,0
9,0.001119821,0.1025478341787261,0.001119821,0.053943789,0.001119821,0.001119821,0.001119821,0.091571944,0.001119821,0.001119821,0.10575159,0.001119821,0.001119821,0.63050735,0.001119821,1.0,0,0,0,0,1,0,0
10,0.017089721,0.026486407,0.000773994,0.000773994,0.000773994,0.000773994,0.000773994,0.079664557,0.7205565145482401,0.080987648,0.000773994,0.065153233,0.000773994,0.000773994,0.000773994,0.9857142857142858,0,0,0,0,1,0,0
11,0.001644737,0.001644737,0.001644737,0.3974904504511861,0.001644737,0.001644737,0.001644737,0.066201212,0.001644737,0.093699015,0.001644737,0.4179382701779092,0.001644737,0.001644737,0.001644737,0.9857142857142858,0,0,0,0,1,0,0
12,0.000626566,0.2443580759245977,0.083569966,0.000626566,0.013375427,0.022181143,0.000626566,0.1091289709585859,0.4589837412093324,0.000626566,0.000626566,0.000626566,0.000626566,0.000626566,0.032580842,0.9857142857142858,0,0,0,0,1,0,0
13,0.000785546,0.000785546,0.150690869,0.000785546,0.000785546,0.000785546,0.000785546,0.090114231,0.000785546,0.1733106182210936,0.000785546,0.085106248,0.000785546,0.4454687961567132,0.045097139,0.9857142857142858,0,0,0,0,1,0,0
14,0.001253133,0.001253133,0.081359733,0.001253133,0.001253133,0.030950545,0.3845678800840667,0.001253133,0.001253133,0.1119224047407057,0.001253133,0.2705065173874285,0.001253133,0.001253133,0.049284711,0.9857142857142858,0,0,0,0,1,0,0
15,0.000348554,0.018417244,0.3918787086344464,0.000348554,0.025737245,0.000348554,0.000348554,0.000348554,0.000348554,0.000348554,0.000348554,0.000348554,0.000348554,0.034922425,0.026084213,0.9857142857142858,0,0,0,0,1,0,0
16,0.001385042,0.001385042,0.001385042,0.065506615,0.001385042,0.001385042,0.001385042,0.001385042,0.001385042,0.6006329459604957,0.001385042,0.2491536893758469,0.001385042,0.001385042,0.063931126,0.9857142857142858,0,0,0,0,1,0,0
17,0.000358038,0.3781187914066113,0.030934211,0.000358038,0.025127185,0.000358038,0.032534324,0.019480574,0.093724547,0.000358038,0.1355515038347023,0.05895109,0.000358038,0.066821827,0.043335426,0.9857142857142858,0,0,0,0,1,0,0
18,0.002024292,0.4323963105509871,0.002024292,0.002024292,0.002024292,0.002024292,0.002024292,0.4635940269865534,0.002024292,0.002024292,0.002024292,0.002024292,0.032489034,0.002024292,0.041156255,0.9714285714285714,0,0,0,0,1,0,0
19,0.000431406,0.031303771,0.000431406,0.000431406,0.016905991,0.3096002197529346,0.005947658,0.000431406,0.05584699,0.072208893,0.000431406,0.000431406,0.000431406,0.000431406,0.4264571683737991,0.9714285714285714,0,0,0,0,1,0,0
